iter	Logloss
0	0.6543032571
1	0.6237020734
2	0.5971738376
3	0.5764304245
4	0.560652554
5	0.5476256714
6	0.5345232383
7	0.5204324047
8	0.5119619588
9	0.5043003295
10	0.4996603439
11	0.4940866219
12	0.4901734973
13	0.486661747
14	0.4835080459
15	0.480892395
16	0.4795697796
17	0.4770496553
18	0.475876921
19	0.473411435
20	0.4719597827
21	0.4707957267
22	0.4686137118
23	0.4677418174
24	0.4669800294
25	0.466642882
26	0.4660204663
27	0.465509306
28	0.4646771887
29	0.4642389993
30	0.4638789436
31	0.4632553029
32	0.4626241202
33	0.4615151114
34	0.461007576
35	0.4606431351
36	0.4598391875
37	0.4591391955
38	0.4588777781
39	0.4580667786
40	0.4574861682
41	0.4569824188
42	0.4560539655
43	0.4558295006
44	0.455314732
45	0.4549253437
46	0.4547725867
47	0.4546309532
48	0.4543933357
49	0.4542639036
50	0.4539791705
51	0.453910945
52	0.4536667763
53	0.4535119248
54	0.4528979029
55	0.4526167679
56	0.4519649903
57	0.4517899695
58	0.4514612417
59	0.4513459363
60	0.4510005793
61	0.450760359
62	0.4505871131
63	0.450405245
64	0.450282527
65	0.4501084651
66	0.4500318542
67	0.4497831492
68	0.4495096135
69	0.4494415801
70	0.4491945898
71	0.4491059053
72	0.4489957283
73	0.4488868715
74	0.4486248515
75	0.4483983083
76	0.4482039185
77	0.4480010077
78	0.447931995
79	0.4477179194
80	0.4476457589
81	0.4475555091
82	0.4474208277
83	0.4473779606
84	0.4472698849
85	0.4471683727
86	0.4468858186
87	0.4467827841
88	0.4466777481
89	0.4466174459
90	0.4464416772
91	0.4463854772
92	0.4462898992
93	0.4460020946
94	0.4459708577
95	0.4458812928
96	0.4457101946
97	0.4454927168
98	0.4451905728
99	0.4448735589
100	0.4448489905
101	0.4447249853
102	0.4445210056
103	0.44445984
104	0.4444038006
105	0.4443729615
106	0.4441816232
107	0.4440189887
108	0.443963524
109	0.4438107627
110	0.4437038365
111	0.4436877516
112	0.443607265
113	0.4435211931
114	0.4434981197
115	0.4434355315
116	0.4433550466
117	0.4432747994
118	0.4430247859
119	0.4429287776
120	0.4428475774
121	0.442700527
122	0.4425990736
123	0.4425488493
124	0.4425081363
125	0.4424894205
126	0.4424737681
127	0.4424142467
128	0.4423681856
129	0.4423507851
130	0.4422223398
131	0.4422017122
132	0.4421456297
133	0.4420048702
134	0.4419678724
135	0.4419429946
136	0.4418608897
137	0.4417871988
138	0.4417486804
139	0.4416876671
140	0.4416384124
141	0.4415502999
142	0.44148743
143	0.4414592179
144	0.4414297258
145	0.4414072682
146	0.4413874822
147	0.4412315798
148	0.441190846
149	0.441175398
150	0.4410805199
151	0.4410490172
152	0.4410262701
153	0.4410119255
154	0.4409137015
155	0.440852608
156	0.4408109454
157	0.4407630203
158	0.4405654392
159	0.4405307354
160	0.4404542024
161	0.4403248814
162	0.4402421158
163	0.4402246434
164	0.4402038002
165	0.4401484344
166	0.440102126
167	0.4400231618
168	0.4398778064
169	0.4398593183
170	0.4397797994
171	0.4397328969
172	0.4396501925
173	0.4396062494
174	0.4395039886
175	0.4394760806
176	0.4394274725
177	0.4393951582
178	0.4393664448
179	0.4392499971
180	0.4392105464
181	0.4391858135
182	0.4391164803
183	0.4390325847
184	0.4389956876
185	0.4388903266
186	0.4388572117
187	0.4388049763
188	0.4387732599
189	0.4387001259
190	0.4386484561
191	0.438581153
192	0.4384754364
193	0.4384429104
194	0.438401096
195	0.4383473285
196	0.4383080719
197	0.4382297308
198	0.4381807142
199	0.4381383136
200	0.4381072557
201	0.4380704808
202	0.4380229642
203	0.437959813
204	0.4379094513
205	0.4378187473
206	0.437748587
207	0.4377247142
208	0.4376040415
209	0.4375205957
210	0.4374674995
211	0.4374325045
212	0.4373419577
213	0.4372585456
214	0.4372060217
215	0.4371372163
216	0.4370879483
217	0.4370318759
218	0.4369798105
219	0.4369310392
220	0.4368752587
221	0.436850481
222	0.4367932685
223	0.4367394677
224	0.4366948412
225	0.4366444137
226	0.4365135226
227	0.436480962
228	0.4363916994
229	0.4363132442
230	0.4363093365
231	0.4362111717
232	0.4361749369
233	0.4360898362
234	0.4360210567
235	0.4359529885
236	0.4359332492
237	0.4358662123
238	0.435791337
239	0.4357566815
240	0.4356541869
241	0.4356172172
242	0.4355878502
243	0.4355612584
244	0.4355461369
245	0.435539404
246	0.4354071275
247	0.435323295
248	0.4352922162
249	0.4351857748
250	0.4351467408
251	0.435113909
252	0.4350601441
253	0.4349203687
254	0.4348706335
255	0.4348372113
256	0.4347758157
257	0.4347389891
258	0.4345963209
259	0.4345617976
260	0.4345199465
261	0.4344741954
262	0.434460016
263	0.4344428135
264	0.4343895716
265	0.4343478397
266	0.4343170887
267	0.4342291229
268	0.434204152
269	0.4341574479
270	0.4341185395
271	0.4340899633
272	0.4340031256
273	0.4339549024
274	0.4339234667
275	0.4338828166
276	0.4338433796
277	0.433829583
278	0.4338061724
279	0.4337896349
280	0.4337464343
281	0.433673041
282	0.4335830512
283	0.4335299077
284	0.4334623744
285	0.4334297517
286	0.4333869464
287	0.4333373689
288	0.4332463687
289	0.4332206912
290	0.4331541857
291	0.4331302483
292	0.4331039802
293	0.4331017137
294	0.4330105719
295	0.4329815252
296	0.4329803105
297	0.4329435213
298	0.432915039
299	0.4328279727
300	0.4327849748
301	0.4327051552
302	0.4326290439
303	0.4326103145
304	0.4325887731
305	0.4325585556
306	0.4324482929
307	0.4323955221
308	0.4323917081
309	0.4323421679
310	0.4322865723
311	0.4322583961
312	0.4322352562
313	0.4322098766
314	0.4321308684
315	0.432101101
316	0.432099946
317	0.4320716583
318	0.4320705482
319	0.4320320896
320	0.4320099185
321	0.4319843862
322	0.4319517377
323	0.4319231166
324	0.4318861757
325	0.4318307163
326	0.4318000467
327	0.4317744178
328	0.4317356334
329	0.4316476102
330	0.4316444546
331	0.4316183968
332	0.4315751001
333	0.4315418226
334	0.4315160198
335	0.4314909795
336	0.431436493
337	0.4314159542
338	0.431375685
339	0.4313454776
340	0.4313256456
341	0.4313020882
342	0.4312400379
343	0.4312188174
344	0.4312153743
345	0.4311837474
346	0.4311287503
347	0.4310950003
348	0.4310285808
349	0.4309542573
350	0.430926526
351	0.4309037944
352	0.4308812506
353	0.4308500535
354	0.4308142401
355	0.4307847229
356	0.430760265
357	0.4307354846
358	0.4306735952
359	0.4306319265
360	0.4305650123
361	0.4305641293
362	0.430550874
363	0.4305316627
364	0.4305285584
365	0.4305021754
366	0.4304799475
367	0.4304362444
368	0.4304176236
369	0.4303815503
370	0.4303350438
371	0.4302903047
372	0.4302572505
373	0.4302222987
374	0.4302031012
375	0.4301720174
376	0.4301282666
377	0.4300869062
378	0.4300660726
379	0.4300349839
380	0.4300062071
381	0.4299971125
382	0.429972999
383	0.4299126744
384	0.429888403
385	0.4298725765
386	0.4298094148
387	0.4297555115
388	0.4297199373
389	0.4296911218
390	0.4296568883
391	0.4296353289
392	0.4295898847
393	0.4295890905
394	0.4295458154
395	0.42951942
396	0.4294927952
397	0.4294562212
398	0.4294054503
399	0.4293823815
400	0.4293636716
401	0.4293398107
402	0.4293203838
403	0.4293196151
404	0.4292917941
405	0.4292562159
406	0.4292237399
407	0.4291764214
408	0.4291617679
409	0.4291446816
410	0.4291139988
411	0.4290936582
412	0.4290650793
413	0.4290030001
414	0.4289821629
415	0.4289569179
416	0.4289335771
417	0.4289284651
418	0.4289151052
419	0.4288970218
420	0.4288672954
421	0.4288441784
422	0.4288353782
423	0.4288328213
424	0.4287987229
425	0.428777619
426	0.4287684341
427	0.4287395284
428	0.4287197762
429	0.4287039183
430	0.4286864339
431	0.4286504768
432	0.4286206133
433	0.42860081
434	0.4285639905
435	0.4285246978
436	0.4285122437
437	0.4284804807
438	0.4284557173
439	0.4284185421
440	0.4283897212
441	0.4283579615
442	0.4283165176
443	0.4282576606
444	0.4282322684
445	0.4282123503
446	0.4281953633
447	0.4281944744
448	0.4281654374
449	0.4281426418
450	0.4281127043
451	0.4280857354
452	0.4280681263
453	0.4280500279
454	0.4280390511
455	0.4279996279
456	0.4279839155
457	0.4279610762
458	0.4279250383
459	0.4279069446
460	0.4278870098
461	0.4278700582
462	0.4278461062
463	0.4278160455
464	0.4277918354
465	0.4277680197
466	0.4277362556
467	0.4277305066
468	0.4277043925
469	0.4276791725
470	0.4276426172
471	0.4276180315
472	0.427589682
473	0.4275652553
474	0.4275341251
475	0.4275042197
476	0.4274581006
477	0.4274046165
478	0.4273789171
479	0.427362358
480	0.4273402974
481	0.42729533
482	0.4272554773
483	0.427237181
484	0.4272100629
485	0.4271803845
486	0.4271738866
487	0.4271561828
488	0.4271267159
489	0.4270957599
490	0.427071397
491	0.4270624495
492	0.4270209623
493	0.4269991244
494	0.4269791993
495	0.4269597192
496	0.4269395309
497	0.426920377
498	0.4268904958
499	0.4268716902
500	0.4268579367
501	0.4268225799
502	0.4267905909
503	0.4267673557
504	0.4267548674
505	0.4267286446
506	0.4266921515
507	0.4266580903
508	0.4266181508
509	0.4265942577
510	0.4265771376
511	0.426574363
512	0.4265606419
513	0.426525488
514	0.4264998245
515	0.4264486739
516	0.4264353561
517	0.4264104808
518	0.426386451
519	0.4263640781
520	0.4263296611
521	0.4262941329
522	0.4262723193
523	0.4262506879
524	0.4262315661
525	0.4262285371
526	0.4261984391
527	0.4261830535
528	0.4261680305
529	0.4261462977
530	0.4261305726
531	0.4261248399
532	0.4261069761
533	0.4260938684
534	0.4260298546
535	0.4259919768
536	0.4259770479
537	0.4259299574
538	0.4259116512
539	0.4258934765
540	0.4258760399
541	0.4258198964
542	0.4258022853
543	0.4257799431
544	0.425768141
545	0.4257534526
546	0.4257045299
547	0.4256871344
548	0.4256719226
549	0.4256469132
550	0.4256321643
551	0.4255855473
552	0.4255628612
553	0.4255457038
554	0.4255340278
555	0.4255278273
556	0.4255144504
557	0.4254966232
558	0.425475709
559	0.4254750207
560	0.4254579025
561	0.425425709
562	0.4254102819
563	0.4253945949
564	0.4253698179
565	0.4253566307
566	0.4253416643
567	0.4253175166
568	0.4253174771
569	0.4252947164
570	0.4252694544
571	0.4252570557
572	0.4252363583
573	0.4252047577
574	0.4252011746
575	0.4251966909
576	0.4251880092
577	0.4251422012
578	0.4251285399
579	0.4250606368
580	0.4250378763
581	0.4250142153
582	0.424992759
583	0.4249721585
584	0.4249510714
585	0.4249338865
586	0.4249082576
587	0.4249009434
588	0.4248620724
589	0.4248495408
590	0.4248491691
591	0.4248485149
592	0.4247985874
593	0.4247807492
594	0.424767673
595	0.4247527178
596	0.424731636
597	0.4247150907
598	0.4247011027
599	0.4246837233
600	0.4246792769
601	0.4246564315
602	0.4246398619
603	0.4246058739
604	0.4245905118
605	0.4245732886
606	0.4245559652
607	0.4245500315
608	0.4245375491
609	0.4245237198
610	0.4245089432
611	0.4244813674
612	0.4244648893
613	0.4244464206
614	0.4244257815
615	0.4244212702
616	0.4244192504
617	0.4243944384
618	0.4243706277
619	0.4243513456
620	0.4243222167
621	0.4243059011
622	0.4242871811
623	0.4242690328
624	0.4242507081
625	0.4242288567
626	0.4242059368
627	0.4241672403
628	0.4241493584
629	0.4241269506
630	0.424098811
631	0.4240772188
632	0.4240641282
633	0.4240482951
634	0.4240307337
635	0.4240040116
636	0.4240003348
637	0.4239883994
638	0.4239762977
639	0.4239594772
640	0.4239364591
641	0.4239153087
642	0.4238990201
643	0.4238839903
644	0.4238695566
645	0.4238286507
646	0.4238095171
647	0.4237942707
648	0.423775994
649	0.4237609823
650	0.4237341613
651	0.4237116361
652	0.4236918577
653	0.4236818679
654	0.4236707376
655	0.4236387236
656	0.4236148348
657	0.4235990846
658	0.4235854841
659	0.4235710901
660	0.4235670736
661	0.4235581785
662	0.4235367737
663	0.4235140031
