iter	Passed	Remaining
0	9	9385
1	26	13109
2	39	13153
3	59	14700
4	69	13897
5	83	13780
6	97	13778
7	109	13553
8	124	13721
9	133	13239
10	145	13096
11	155	12805
12	166	12660
13	177	12480
14	190	12513
15	201	12404
16	209	12106
17	219	11988
18	228	11813
19	241	11856
20	250	11677
21	258	11476
22	267	11380
23	275	11214
24	282	11033
25	290	10872
26	297	10732
27	307	10691
28	319	10687
29	330	10699
30	338	10569
31	346	10473
32	354	10401
33	362	10296
34	369	10199
35	377	10104
36	390	10155
37	400	10132
38	408	10076
39	418	10036
40	426	9981
41	434	9916
42	443	9861
43	456	9914
44	468	9940
45	477	9905
46	485	9850
47	498	9895
48	509	9887
49	524	9960
50	533	9928
51	540	9857
52	549	9823
53	558	9782
54	569	9786
55	579	9776
56	590	9768
57	604	9822
58	616	9826
59	623	9774
60	635	9785
61	646	9784
62	661	9844
63	672	9837
64	681	9802
65	691	9779
66	698	9733
67	708	9705
68	719	9711
69	732	9731
70	748	9789
71	758	9775
72	770	9782
73	782	9786
74	793	9782
75	802	9761
76	813	9751
77	820	9699
78	828	9659
79	839	9658
80	851	9663
81	863	9667
82	873	9651
83	884	9642
84	896	9645
85	905	9628
86	916	9621
87	926	9603
88	934	9566
89	942	9525
90	949	9480
91	956	9439
92	963	9399
93	972	9370
94	979	9331
95	987	9299
96	994	9262
97	1002	9224
98	1010	9194
99	1018	9162
100	1026	9139
101	1035	9115
102	1045	9108
103	1057	9114
104	1067	9097
105	1074	9065
106	1083	9040
107	1091	9011
108	1099	8985
109	1108	8969
110	1116	8939
111	1126	8931
112	1136	8917
113	1147	8920
114	1156	8901
115	1168	8905
116	1182	8927
117	1192	8915
118	1201	8897
119	1211	8883
120	1220	8864
121	1230	8858
122	1243	8864
123	1251	8839
124	1260	8825
125	1270	8809
126	1279	8793
127	1286	8767
128	1297	8762
129	1306	8741
130	1315	8725
131	1322	8698
132	1331	8676
133	1339	8658
134	1347	8633
135	1355	8608
136	1367	8612
137	1374	8586
138	1382	8563
139	1392	8552
140	1405	8565
141	1417	8566
142	1425	8544
143	1432	8515
144	1439	8488
145	1447	8464
146	1454	8439
147	1462	8416
148	1472	8408
149	1481	8394
150	1488	8371
151	1496	8348
152	1508	8348
153	1514	8322
154	1524	8308
155	1534	8300
156	1541	8277
157	1549	8255
158	1557	8237
159	1564	8214
160	1575	8209
161	1582	8187
162	1591	8170
163	1598	8146
164	1605	8124
165	1613	8105
166	1622	8091
167	1630	8074
168	1640	8067
169	1649	8053
170	1659	8043
171	1667	8027
172	1678	8024
173	1686	8003
174	1694	7989
175	1701	7968
176	1708	7946
177	1716	7927
178	1723	7906
179	1731	7889
180	1738	7868
181	1749	7861
182	1756	7843
183	1763	7822
184	1771	7802
185	1778	7781
186	1790	7786
187	1798	7769
188	1809	7764
189	1816	7744
190	1826	7735
191	1833	7717
192	1841	7698
193	1848	7678
194	1856	7665
195	1865	7651
196	1872	7631
197	1880	7616
198	1890	7610
199	1898	7594
200	1906	7577
201	1913	7560
202	1924	7554
203	1938	7565
204	1948	7555
205	1958	7550
206	1966	7534
207	1979	7537
208	1990	7532
209	2002	7533
210	2012	7525
211	2021	7514
212	2032	7509
213	2041	7499
214	2054	7501
215	2062	7484
216	2070	7470
217	2079	7458
218	2087	7446
219	2099	7441
220	2107	7427
221	2115	7412
222	2122	7396
223	2132	7386
224	2140	7374
225	2148	7357
226	2156	7344
227	2164	7327
228	2172	7313
229	2179	7296
230	2187	7280
231	2194	7263
232	2201	7246
233	2209	7232
234	2217	7219
235	2225	7203
236	2232	7186
237	2240	7173
238	2247	7157
239	2255	7143
240	2263	7128
241	2270	7111
242	2280	7104
243	2290	7097
244	2299	7087
245	2309	7079
246	2321	7077
247	2333	7074
248	2342	7064
249	2350	7052
250	2361	7047
251	2370	7036
252	2381	7030
253	2390	7020
254	2398	7006
255	2410	7005
256	2422	7003
257	2432	6996
258	2445	6996
259	2457	6993
260	2471	6996
261	2486	7002
262	2501	7008
263	2510	6997
264	2519	6989
265	2530	6983
266	2541	6977
267	2552	6970
268	2562	6963
269	2571	6953
270	2579	6939
271	2587	6924
272	2594	6908
273	2602	6895
274	2609	6880
275	2617	6866
276	2627	6858
277	2635	6844
278	2642	6828
279	2649	6814
280	2660	6807
281	2668	6793
282	2675	6779
283	2683	6764
284	2691	6752
285	2698	6737
286	2706	6723
287	2714	6709
288	2723	6699
289	2731	6687
290	2742	6682
291	2753	6677
292	2763	6668
293	2769	6651
294	2777	6638
295	2785	6625
296	2793	6611
297	2801	6599
298	2815	6600
299	2825	6592
300	2836	6586
301	2844	6573
302	2852	6562
303	2860	6548
304	2867	6535
305	2877	6526
306	2885	6513
307	2894	6502
308	2901	6489
309	2909	6476
310	2919	6467
311	2926	6454
312	2938	6448
313	2945	6434
314	2952	6420
315	2959	6406
316	2967	6392
317	2974	6379
318	2981	6364
319	2989	6351
320	2996	6337
321	3004	6326
322	3016	6322
323	3024	6309
324	3036	6306
325	3044	6295
326	3052	6282
327	3060	6269
328	3067	6256
329	3077	6248
330	3084	6234
331	3096	6230
332	3106	6221
333	3113	6208
334	3124	6202
335	3134	6194
336	3143	6183
337	3150	6171
338	3159	6160
339	3167	6147
340	3174	6134
341	3181	6121
342	3191	6113
343	3199	6101
344	3206	6088
345	3215	6077
346	3223	6065
347	3230	6052
348	3238	6041
349	3246	6028
350	3254	6018
351	3262	6006
352	3269	5993
353	3277	5981
354	3285	5969
355	3295	5961
356	3303	5950
357	3311	5937
358	3320	5928
359	3330	5921
360	3338	5909
361	3345	5896
362	3354	5886
363	3362	5874
364	3371	5865
365	3379	5854
366	3387	5842
367	3395	5830
368	3404	5821
369	3414	5813
370	3422	5802
371	3430	5790
372	3438	5779
373	3446	5768
374	3453	5755
375	3460	5743
376	3471	5736
377	3480	5726
378	3488	5716
379	3496	5705
380	3506	5697
381	3515	5687
382	3526	5680
383	3536	5673
